,Company,Description,Link
0,"ActuaViz Co., Ltd.","ActuaViz is a technology startup focusing on transforming everyone's life through actuarial modeling and risk analysis. Our mission is ""Simple and ...",https://www.cakeresume.com/companies/actuaviz-co-ltd
1,Outo 奧拓戶外 ,Outo 是一個戶外活動平台，讓顧客能找到優質的戶外教練商家，看到他們的評價、專業履歷，並訂購他們提供的服務；對教練與商家來說，這個平台讓他們可以上架服務，提高個人品牌差異及能見度，簡化顧客付款流程，並在他們的專業履歷上累積評論與評分、建立口碑。 今年五月創立後，我們不斷在尋找優秀人才加入，建...,https://www.cakeresume.com/companies/outotaiwan
2, webzz,webzz旨在提供線上數位投資顧問服務，使用Web 或是App的形式提供一般投資大眾藉由我們的產品解決您的投資大小事,https://www.cakeresume.com/companies/webzz
3,NXP Semiconductors Taiwan Ltd. 台灣恩智浦半導體股份有限公司,恩智浦半導體 （NASDAQ：NXPI）為IC設計與製造垂直整合的半導體公司，致力為智慧生活提供先進的安全連結解決方案。作為全球領先的嵌入式應用安全連結解決方案供應商，恩智浦持續推動安全互聯汽車、工業與物聯網、行動裝置與通訊基礎設施市場的創新。恩智浦擁有超過60年的專業技術及經驗，在全球逾30...,https://www.cakeresume.com/companies/nxp-semiconductors-taiwan-ltd
4,天新資訊股份有限公司,"天新資訊（FITi, Future Intelligence Technology Inc.）成立32年，秉持『專業』、『熱忱』、『創新』的企業精神，於 2006 年轉型專注於推廣客戶關係管理（CRM, Customer Relationship Management）與雲端技術運用，並成為台...",https://www.cakeresume.com/companies/fiti-index-html
5,順鴻科技有限公司,順鴻科技是一間以”員工”為本的軟體技術服務公司，我們擁有Start up的熱情、風氣及文化，更擁有專業的技術和知識，讓同仁在公司不僅僅是工作，也可以提升豐富的專業技術資訊。 隨著全世界軟體產業的快速發展，順鴻科技掌握軟體發展的先鋒，持續努力、持續創新、持續往更好的未來前進。我們提倡團隊思考，喜...,https://www.cakeresume.com/companies/1111-corp-73206122-prevo-1-c4
6,親子天下股份有限公司,【 親子天下品牌故事 】 2008年，全球金融風暴，《親子天下》在焦慮和不安的情緒中創生。我們希望，透過媒體，供應給心有餘而力不足的父母，和學習大轉型時代的教育工作者們，「知識的後援系統、方法的交流平台、情感的分享社群」，希望能夠滿足父母與教育工作者，愈來愈迫切的「學習的需要」。 當我們成為父...,https://www.cakeresume.com/companies/parenting
7,Stark Tech_鷹翔有限公司,Stark Tech 的核心願景是通過科技及工具的升級，幫助傳產業者提高自身的經營能力，更好的追求現代化的消費形態! Stark Tech’s mission is to make technology easier for traditional businesses. Our goal i...,https://www.cakeresume.com/companies/StarkTech
8,Bebememo ,"Bebememo is the destination for your baby's memories. It's easier than ever to make a fantastic video for your baby. It is also a secure, private f...",https://www.cakeresume.com/companies/bebememous
9,凌發科技有限公司,凌發科技以 『人』 為出發點，朝著創造一個人人都能熱情投入、發揮創意的職場環境，讓工作不只是朝九晚六，讓團隊夥伴能互相合作、共同成長！ 並將這個理念，延伸到客戶的服務上，以人的角度，更著重於使用者體驗，致力於提供客戶更優良的解決方案！ 凌發のlinkedin👉 https://reurl.cc...,https://www.cakeresume.com/companies/5062f8
10,Stark Tech_鷹翔有限公司,Stark Tech 的核心願景是通過科技及工具的升級，幫助傳產業者提高自身的經營能力，更好的追求現代化的消費形態! Stark Tech’s mission is to make technology easier for traditional businesses. Our goal i...,https://www.cakeresume.com/companies/StarkTech
11,Bebememo ,"Bebememo is the destination for your baby's memories. It's easier than ever to make a fantastic video for your baby. It is also a secure, private f...",https://www.cakeresume.com/companies/bebememous
12,凌發科技有限公司,凌發科技以 『人』 為出發點，朝著創造一個人人都能熱���投入、發揮創意的職場環境，讓工作不只是朝九晚六，讓團隊夥伴能互相合作、共同成長！ 並將這個理念，延伸到客戶的服務上，以人的角度，更著重於使用者體驗，致力於提供客戶更優良的解決方案！ 凌發のlinkedin👉 https://reurl....,https://www.cakeresume.com/companies/5062f8
13,幣護股份有限公司,關於Aegis Custody 2018年我們從矽谷起家，2019年CEO在台灣創建了技術團隊，進行產品開發，並慢慢發展其他亞洲區域的公司業務。於台北與舊金山設立雙總部，信託部門成立於 South Dakota，持有香港信託牌照、��已經通過美國信託牌照的成立許可。公司致力於推動資產數位化，並...,https://www.cakeresume.com/companies/aegiscustody
14,睿傳數據股份有限公司,睿傳數據的核心競爭力在:醫療資訊開發能力、醫療數據理解能力及人工智慧開發應用能力，協助醫療專家們獲得卓越的人工智慧應用體驗及擴展預防醫學輔助應用。 經營理念 願景-釋放醫護專家潛能，成為全球最受信賴的醫學人工智慧夥伴 使命-協助醫護解決業務執行：「精準、迅速、傳承」的難題,https://www.cakeresume.com/companies/cohesiondata-ed2d7f
15,Steaker,Steaker 是全球數位資產管理平台，成立於 2019 年 9 月，其專業為整合多元加密貨幣金融策略，以協助投資人配置加密貨幣資產，創造區塊鏈上的被動收益。至今已協助每位用戶管理平均 40K USDⓢ 的加密貨幣資產，並創造 550K+ USDⓢ 的收益，締造累計平均 APR 23% 績效。...,https://www.cakeresume.com/companies/steaker
16,Amazon Devices/Ring_環安智控股份有限公司,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, ...",https://www.cakeresume.com/companies/amazon_ring
17,Numbers (主張數據股份有限公司),Numbers 是 2019 年五月成立的新創公司，使命是利用技術來保持數據的完整性、預防惡意竄改或是假新聞，合作對象包含非營利組織、英國與美國的主流媒體、以及刑事證據保存機構等，利用區塊鏈與 AI 的技術建立數據溯源系統，在 GDPR 的時代，協助企業建立尊重個人資料使用權與控制權的服務系統...,https://www.cakeresume.com/companies/numbers
18,易福社會創新股份有限公司,Hey， 謝謝您對 eFOOOD 的工作職缺感到興趣！ 易福社會創新公司以惜食環保為初衷，推廣食物分享零距離為理念， 藉由資訊平台重新分配食物，拉近浪費與不足之間的距離。 eFOOOD 相信公司與同仁之間是平等互惠的關��， 公司的未來及願景需要大家共同逐步完成， 而同仁也需要公司的支持得以學...,https://www.cakeresume.com/companies/efoood
19,LINE Bank 連線商業銀行,"LINE Bank is LINE’s most recent Fintech service in Taiwan, supported by industry-leading shareholders from internet and mobile messaging, banking, ...",https://www.cakeresume.com/companies/LINE-Bank
20,iN Search Management Consultants 卓恩管理顧問有限公司,IN Search卓恩管理顧問有限公司，自成立以來便自詡為台灣精品級的專業人力招聘顧問公司，專注於科技業、傳產製造業與醫藥健康業的中高階層的技術及管理職的人力招募，為客戶及求職者提供人才招聘媒合、企業諮詢、人才分析及市場資訊，使客戶與求職者獲得最有效準確之趨勢與資訊，以創造出更優質的專業服務體...,https://www.cakeresume.com/companies/in-search-management-consultant
21,IBM Taiwan,IBM 台灣招募網站： https://ibm.com/jobs/tw 1956年，IBM 正式在台展開業務，歷經近一甲子的耕耘，深入參與各項改變產業發展與日常生活的重大變革，包括電子化政府、銀行自動化、半導體產業自動化整合、電子化供應鏈等。同時，IBM 持續打造與深化「自主研發生態系」，創造...,https://www.cakeresume.com/companies/IBMTaiwan
22,Langlink Localization,"In 2012, as a company specializing in localization, LangLink Localization Solutions was founded in Hong Kong. Langlink Localization works for the t...",https://www.cakeresume.com/companies/langlink-localization
23,Morgan Philips Group 香港商博禹國際顧問有限公司台灣分公司,Company Website: https://www.morganphilips.com/en Morgan Philips Group wins the following awards at Asia Recruitment Awards 2019: § Grand Winner 20...,https://www.cakeresume.com/companies/morgan-philips-hong-kong-limited-taiwan-branch
24,木刻思股份有限公司,木刻思是一間專注於利用 Big Data & Deep Learning 技術改變世界的一間顧問公司，協助許多的企業學習各種最先進的技術，更快速而又效率的解決面對的問題。除此之外，我們也協助大家思考與探索各種問題背後的問題！讓大家在解決問題的同時，也可以布局未來，一步步趨向最核心的問題！ 木刻...,https://www.cakeresume.com/companies/data-sci-info-about-e6-9c-a8-e5-88-bb-e6-80-9d
25,印尼商艾希英科技股份有限公司,【公司介紹】： 印尼商艾希英科技為印尼政府唯一支持的新創科技，同時有新加坡創投的投資，印尼辦公室更是直接座落於雅加達總統府行政區正對面（普通公司有錢也無法設立的地點）。 公司致力於打造印尼國家專屬聊天應用程式，同時與五百多個地方政府完成簽約，作為政府唯一授權電子發票兌獎及發票獎金發放的管道。 ...,https://www.cakeresume.com/companies/indochat-id-9497fd
26,優聘資訊科技有限公司 Talfin,"【使命 Mission】 開創心理因子和科技運算之集成，成就人才供應服務。 By creating a hub that integrates psychology with technology for identification and assessment, we aim to be ...",https://www.cakeresume.com/companies/.talfin.ai
27,阿珥楠股份有限公司,▎租租通DDROOM成立於2018年，我們的使命是讓用戶享有全台灣最高CP值的數位租屋管家，透過一站式的租屋解決方案，讓租屋平台不只是房源刊登，還有最快速、安全的簽約、帳務、信用評價..等一條龍的線上服務，讓你一支手機搞定租屋大小事。 ▎我們組成一個積極認真、敢想敢做、友好互信的團隊，創造一個...,https://www.cakeresume.com/companies/dd-room
28,方碼科技,"方碼科技從成立至今持續專注於二維條碼影像識別及二維條碼相關應用, 除了致力提供自主研發極速穩定的條碼識別軟體引擎, 協助國內外系統開發者快速整合二維條碼功能於各式系統平台, 例如 Kiosk機台及 POS 機台條碼掃描整合、手機 APP 條碼掃描整合及工廠自動化二維條碼讀取等; 也利用二維條碼...",https://www.cakeresume.com/companies/funcode-tech
29,多博科技,多博科技 是一家專業軟體系統設計開發公司， 同時也提供資訊科技獵頭派遣服務。 因為我們深入軟體資訊開發， 所以了解資訊科技行業的面貌， 因為我們深入軟體資訊開發， 所以了解企業資訊科技的痛點， 因爲我們深入軟體資訊開發， 所以了解工程師職涯發展的需求， 因此 我們針對企業提供 【軟體系統設計開...,https://www.cakeresume.com/companies/doubleits
